DDInterID_A,Drug_A,DDInterID_B,Drug_B,Level
DDInter1,Abacavir,DDInter126,Asparaginase Erwinia chrysanthemi,Moderate
DDInter1,Abacavir,DDInter264,Calaspargase pegol,Moderate
DDInter1,Abacavir,DDInter1435,Pexidartinib,Major
DDInter1,Abacavir,DDInter1578,Remdesivir,Moderate
DDInter1019,Lamivudine,DDInter126,Asparaginase Erwinia chrysanthemi,Moderate
DDInter1019,Lamivudine,DDInter264,Calaspargase pegol,Moderate
DDInter582,Dolutegravir,DDInter277,Calcium glycerophosphate,Major
DDInter338,Cenobamate,DDInter582,Dolutegravir,Minor
DDInter582,Dolutegravir,DDInter727,Ferrous sulfate anhydrous,Major
DDInter778,Fosaprepitant,DDInter582,Dolutegravir,Minor
DDInter582,Dolutegravir,DDInter836,Goldenseal,Minor
DDInter582,Dolutegravir,DDInter977,Iron protein succinylate,Major
DDInter582,Dolutegravir,DDInter1117,Magnesium glycinate,Major
DDInter1019,Lamivudine,DDInter1435,Pexidartinib,Major
DDInter1019,Lamivudine,DDInter1578,Remdesivir,Moderate
DDInter582,Dolutegravir,DDInter1698,Somapacitan,Minor
DDInter1961,Zidovudine,DDInter142,Avapritinib,Moderate
DDInter1961,Zidovudine,DDInter146,Axicabtagene ciloleucel,Moderate
DDInter1961,Zidovudine,DDInter171,Belantamab mafodotin,Moderate
DDInter1961,Zidovudine,DDInter232,Brexucabtagene autoleucel,Moderate
DDInter1961,Zidovudine,DDInter264,Calaspargase pegol,Moderate
DDInter1961,Zidovudine,DDInter574,Diroximel fumarate,Moderate
DDInter1961,Zidovudine,DDInter612,Duvelisib,Moderate
DDInter1961,Zidovudine,DDInter642,Enfortumab vedotin,Moderate
DDInter1961,Zidovudine,DDInter1847,Trastuzumab deruxtecan,Moderate
DDInter1961,Zidovudine,DDInter821,Givosiran,Moderate
DDInter945,Interferon alfa-n3,DDInter1961,Zidovudine,Major
DDInter949,Interferon gamma-1b,DDInter1961,Zidovudine,Major
DDInter1961,Zidovudine,DDInter979,Isatuximab,Moderate
DDInter1961,Zidovudine,DDInter1081,Lithium carbonate,Minor
DDInter1961,Zidovudine,DDInter1105,Lurbinectedin,Moderate
DDInter1961,Zidovudine,DDInter1108,Lutetium Lu 177 dotatate,Moderate
DDInter1961,Zidovudine,DDInter1240,Monomethyl fumarate,Moderate
DDInter1961,Zidovudine,DDInter1270,Naxitamab,Moderate
DDInter1961,Zidovudine,DDInter1435,Pexidartinib,Major
DDInter1961,Zidovudine,DDInter1485,Polatuzumab vedotin,Moderate
DDInter1961,Zidovudine,DDInter1561,Radium Ra 223 dichloride,Moderate
DDInter1961,Zidovudine,DDInter1578,Remdesivir,Moderate
DDInter1961,Zidovudine,DDInter1644,Satralizumab,Moderate
DDInter1961,Zidovudine,DDInter1692,"Sodium phosphate, monobasic (p32)",Moderate
DDInter1961,Zidovudine,DDInter1738,Tafasitamab,Moderate
DDInter1961,Zidovudine,DDInter1819,Tisagenlecleucel,Moderate
DDInter1961,Zidovudine,DDInter1959,Zanubrutinib,Moderate
DDInter267,Calcipotriol (topical),DDInter2,Abaloparatide,Moderate
DDInter269,Calcitriol (topical),DDInter2,Abaloparatide,Moderate
DDInter553,Digitoxin,DDInter2,Abaloparatide,Moderate
DDInter554,Digoxin,DDInter2,Abaloparatide,Moderate
DDInter8,Abiraterone,DDInter3,Abametapir (topical),Moderate
DDInter9,Acalabrutinib,DDInter3,Abametapir (topical),Moderate
DDInter1848,Trastuzumab emtansine,DDInter3,Abametapir (topical),Moderate
